EKO 4h of Bulgaria – Final,,,,,,,,,,
,,,,,,,,,,
22/10/2022 - 14:55,,,,,,,,,,
,,,,,,,,,,
17 - SÉLESTAT KART INDOOR,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
230,55.707,56.848,55.918,,,,,,,
,,,,,,,,,,
24 - INSPEEDWETRUST,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,57.58,58.437,57.843,56.56,58.642,56.028,57.416,56.002,57.047
10,56.532,56.396,56.097,56.418,56.591,56.074,56.233,56.474,56.472,56.124
20,56.818,57.011,56.314,56.115,56.186,56.39,56.767,55.784,56.962,55.864
30,56.699,55.872,55.915,56.487,56.117,55.909,56.039,177.615,57.495,57.056
40,56.996,57.613,57.421,57.078,57.326,56.847,58.684,56.587,56.262,56.13
50,56.058,57.023,56.111,56.452,56.781,56.898,55.948,56.334,56.08,56.178
60,56.816,57.142,56.502,56.142,56.717,56.579,56.691,56.661,56.689,56.472
70,56.865,56.937,57.179,56.475,57.275,56.666,57.292,179.804,57.482,57.258
80,55.558,55.761,56.229,56.358,55.787,55.529,55.372,56.472,56.783,56.927
90,55.096,55.594,55.385,55.828,55.271,55.731,55.999,55.624,55.694,56.215
100,55.622,55.676,55.637,55.51,56.586,55.389,56.315,56.176,56.506,177.56
110,57.368,56.749,56.714,57.977,56.975,66.018,56.594,56.399,56.518,56.636
120,56.371,56.292,99.871,94.618,89.469,78.037,100.377,58.938,59.213,57.586
130,56.02,55.64,57.818,56.992,56.783,56.688,56.11,55.806,55.563,56.464
140,55.93,56.234,55.963,56.236,179.456,56.612,56.297,56.761,56.399,57.591
150,56.479,55.648,56.028,56.795,56.524,56.012,55.712,55.548,55.586,55.882
160,55.924,56.142,55.877,56.026,55.498,55.861,55.436,55.781,56.112,56.275
170,55.767,55.721,176.798,56.398,56.11,56.297,55.936,55.763,55.927,55.411
180,55.522,56.025,56.014,56.402,56.068,55.358,55.68,56.063,55.593,55.497
190,56.2,55.741,57.163,56.558,56.26,55.713,55.685,55.571,55.478,58.681
200,55.698,177.68,178.523,176.752,177.761,55.786,55.838,55.529,55.43,56.399
210,55.316,55.737,56.056,175.547,55.878,55.482,55.25,55.447,55.759,54.81
220,55.739,56.057,55.96,56.214,55.459,55.626,55.682,55.377,55.114,55.259
230,55.64,55.595,,,,,,,,
,,,,,,,,,,
16 - ENT RACING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,56.875,56.676,56.048,55.653,56.125,55.456,55.91,55.151,55.112
10,55.253,54.965,55.215,56.025,55.062,55.921,55.176,55.62,55.213,55.23
20,55.416,56.187,56.065,55.394,55.289,55.271,55.383,55.435,55.234,55.489
30,55.431,55.32,55.21,178.365,56.466,55.755,55.777,56.359,55.869,55.992
40,55.819,55.661,56.149,56.005,55.899,56.252,56.111,56.121,55.662,55.582
50,56.025,56.235,56.174,55.88,56.374,56.105,55.84,55.542,56.1,55.933
60,55.712,56.326,55.823,55.852,56.779,57.311,56.775,55.568,55.952,56.153
70,55.834,176.478,55.982,56.887,56.824,55.934,55.928,56.901,55.699,56.133
80,55.853,55.801,56.097,55.951,56.204,56.001,55.721,55.7,55.716,55.43
90,55.683,55.541,56.34,55.998,56.577,56.401,55.762,55.573,55.769,55.843
100,55.761,55.734,55.564,55.89,57.502,56.481,55.792,176.906,56.295,55.379
110,57.475,56.523,55.378,55.67,55.407,55.673,55.568,56.134,55.531,55.476
120,55.499,55.693,55.765,55.296,93.243,98.866,91.618,74.544,91.996,57.077
130,57.264,56.939,60.386,56.739,55.484,55.253,55.437,56.822,55.746,55.436
140,55.279,55.426,56.494,56.302,182.41,55.857,56.39,55.885,56.068,56.486
150,55.389,55.458,55.462,56.131,55.438,55.836,56.207,55.775,55.626,55.565
160,55.937,55.644,57.487,55.527,55.747,55.429,55.403,55.54,55.438,55.555
170,55.546,55.593,55.412,55.392,55.351,56.254,55.339,55.627,55.905,55.361
180,55.64,55.723,55.536,55.464,177.887,55.855,55.874,56.42,56.806,56.374
190,56.033,56.497,178.39,55.857,55.783,55.584,55.661,56.438,177.696,55.574
200,55.785,175.417,55.449,55.126,55.677,177.317,55.227,55.121,175.811,55.33
210,55.091,176.547,55.405,55.525,55.575,55.751,55.633,55.863,55.8,55.517
220,57.005,56.071,55.959,56.371,56.223,55.946,56.026,57.458,56.892,56.235
230,56.377,56.461,,,,,,,,
,,,,,,,,,,
10 - ORA,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,59.135,57.961,57.115,56.294,56.189,55.582,56.913,55.54,55.883
10,55.39,56.259,56.282,56.095,55.549,55.397,56.978,55.719,55.723,55.544
20,55.866,55.186,55.656,55.557,56.002,56.814,55.806,55.287,55.311,55.26
30,56.063,56.225,55.707,55.625,56.475,56.264,57.547,57.5,56.812,55.28
40,177.353,56.03,55.775,55.658,56.327,55.644,56.336,55.855,56.211,56.362
50,56.309,55.77,56.7,56.173,56.16,56.295,55.956,57.081,55.774,56.814
60,56.129,65.479,55.582,56.22,56.031,56.284,55.619,56.044,56.109,55.812
70,57.045,57.296,56.324,56.757,55.431,56.388,56.104,55.822,55.717,55.661
80,56.019,55.756,177.062,57.244,55.773,55.569,55.84,55.655,55.607,58.585
90,55.951,55.313,55.704,57.487,55.528,55.458,56.85,56.716,56.495,56.433
100,56.426,56.441,56.292,56.165,55.579,55.671,55.581,55.727,55.516,55.672
110,55.427,55.078,55.687,55.87,55.631,55.53,55.874,176.643,57.425,56.043
120,55.965,55.843,55.187,99.348,94.748,89.584,77.831,99.894,58.777,58.175
130,57.102,55.494,56.788,57.39,55.808,55.529,55.48,55.602,55.311,55.419
140,56.091,55.564,55.801,56.148,55.72,179.967,56.553,56.775,56.403,55.89
150,55.149,55.293,55.74,55.969,55.351,55.665,55.351,57.299,55.953,55.251
160,54.986,55.447,56.467,55.091,55.664,56.115,55.218,55.485,55.676,55.512
170,55.292,55.686,54.892,55.267,55.352,55.579,55.23,55.298,55.216,55.14
180,55.649,56.467,55.518,54.89,55.355,55.267,56.05,184.026,56.188,56.524
190,56.075,55.442,55.191,55.793,55.392,55.381,55.002,55.036,54.821,57.103
200,55.655,55.332,55.321,55.283,55.476,176.145,177.691,56.327,178.947,176.875
210,175.641,55.326,55.011,54.992,55.297,56.425,55.58,55.429,176.027,55.479
220,55.13,56.541,56.393,55.745,55.797,55.496,56.187,55.804,55.51,56.217
230,56.016,,,,,,,,,
,,,,,,,,,,
28 - RNT,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.879,57.757,58.356,58.119,56.964,57.147,56.531,56.655,56.6
10,56.52,57.719,56.671,56.041,56.546,57.631,57.187,56.292,56.39,56.32
20,55.603,57.398,56.604,56.086,56.119,58.17,56.019,55.979,56.103,57.14
30,55.889,57.039,178.726,56.336,56.157,56.156,56.139,56.243,56.113,55.88
40,55.932,55.751,56.863,56.976,55.771,56.231,57.345,56.659,55.748,55.904
50,56.179,55.862,55.885,55.859,55.838,56.809,55.775,55.739,55.751,56.156
60,55.68,56.112,55.818,56.057,56.52,178.974,58.06,56.192,56.998,56.016
70,57.021,56.46,57.257,57.43,56.765,56.358,57.005,56.757,56.383,56.057
80,55.891,56.691,56.359,57.761,56.488,55.99,56.881,178.937,56.029,56.009
90,56.113,55.677,56.001,56.209,57.586,56.544,56.361,56.147,56.336,55.95
100,55.621,56.716,56.479,55.653,56.249,57.24,56.009,56.757,55.962,181.03
110,56.705,57.439,56.358,56.159,56.382,56.286,55.86,57.501,57.235,56.467
120,98.355,95.124,90.176,79.366,96.789,58.763,58.85,60.732,61.094,59.46
130,56.842,56.85,56.328,55.803,56.006,58.246,56.295,57.268,57.502,177.576
140,56.22,57.567,56.584,56.86,56.462,56.161,56.59,57.32,56.564,56.819
150,56.212,56.886,56.631,56.332,57.379,56.872,57.314,57.654,56.844,56.41
160,56.835,56.571,180.516,57.064,57.074,56.627,56.577,56.728,56.632,56.594
170,56.886,57.155,57.057,58.33,58.111,178.486,56.909,56.278,55.662,55.627
180,55.869,55.818,55.882,56.101,55.751,55.717,56.857,55.773,56.213,56.345
190,56.18,56.394,179.521,55.883,56.109,56.479,55.995,56.33,55.791,56.348
200,175.815,56.025,55.578,55.405,56.906,56.636,56.413,56.919,55.866,55.408
210,55.627,55.619,56.084,179.756,57.021,56.232,56.303,56.553,56.191,56.166
220,56.188,57.313,57.007,57.131,56.776,56.837,57.364,56.374,56.547,57.241
230,56.481,,,,,,,,,
,,,,,,,,,,
23 - BOLT,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.07,57.041,56.815,55.648,56.114,55.685,55.41,56.28,55.832
10,55.236,55.351,55.358,56.048,56,55.977,55.923,55.853,56.251,55.712
20,55.55,55.93,55.549,55.603,55.986,175.732,57.947,56.378,55.72,55.986
30,57.297,57.305,56.668,55.999,57.251,57.579,58.573,58.076,57.674,56.421
40,56.129,56.15,56.206,56.682,56.118,55.75,55.659,56.617,55.806,55.762
50,55.812,56.105,56.292,178.638,55.83,57.923,56.029,54.847,55.487,55.493
60,55.843,55.831,55.384,56.185,56.017,55.415,55.862,55.527,56.829,56.862
70,177.308,57.335,56.239,56.152,56.91,55.859,55.871,56.174,56.393,55.988
80,56.325,177.66,57.221,55.98,56.364,55.52,55.678,55.677,57.131,55.991
90,55.986,175.836,57.433,55.911,56.123,55.954,55.418,55.4,56.218,56.565
100,55.738,56.324,56.251,57.974,57.519,182.226,55.885,55.807,56.931,56.486
110,55.886,56.215,56.066,55.739,55.587,55.392,56.264,82.377,99.975,91.234
120,73.009,88.577,58.095,57.574,57.178,58.694,58.56,178.38,178.774,177.679
130,57.102,56.965,56.61,56.395,56.803,56.249,56.135,57.944,57.287,56.95
140,56.456,57.235,60.188,56.762,56.436,56.801,56.971,56.609,56.672,56.543
150,55.968,56.113,57.596,57.274,176.566,55.856,55.413,55.671,55.332,55.188
160,55.826,55.914,56.102,55.899,55.44,55.651,55.6,55.304,55.444,55.424
170,56.337,55.684,55.509,55.196,55.979,55.826,55.385,55.473,56.862,55.204
180,55.127,56.552,55.739,55.497,55.129,55.142,56.232,55.289,55.38,54.912
190,55.633,55.565,55.636,55.071,55.655,178.493,56.542,57.829,56.782,55.885
200,56.996,59.792,58.416,56.35,57.019,57.317,56.081,56.602,55.681,55.561
210,57.258,56.13,55.65,55.781,57.483,56.388,56.027,55.797,55.432,55.536
220,55.775,55.794,55.996,55.711,56.176,55.513,55.486,56.212,56.031,55.853
230,56.027,,,,,,,,,
,,,,,,,,,,
4 - TURBO BROTHERS,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.264,57.108,58.369,57.603,57.551,57.199,56.733,56.349,57.703
10,56.646,56.992,56.519,57.189,57.228,178.179,56.839,56.244,56.114,57.371
20,56.61,57.448,56.428,55.668,56.451,56.378,55.676,55.554,56.586,56.526
30,55.969,56.716,176.865,58.411,57.311,57.031,57.612,58.169,57.575,59.807
40,58.176,57.165,57.646,57.257,58.287,57.743,58.795,58.009,177.779,57.289
50,56.763,57.335,57.139,56.555,55.926,56.449,56.713,56.269,55.981,56.322
60,56.563,56.886,56.235,56.95,56.684,175.151,56.652,56.295,57.011,55.559
70,54.964,57.131,56.209,55.892,55.739,55.85,55.63,55.601,55.842,55.639
80,56.234,55.925,176.504,57.411,57.912,58.74,57.139,56.984,57.312,56.86
90,57.528,56.216,57.361,56.06,57.017,56.675,56.917,57.434,56.46,57.194
100,56.695,57.391,178.338,57.294,57.278,56.101,56.603,56.686,55.939,56.24
110,55.756,56.719,56.853,56.207,56.3,103.567,95.152,89.814,78.744,101.157
120,58.372,57.279,56.295,55.854,56.238,57.571,56.462,55.952,57.538,56.563
130,56.392,60.493,177.903,58.601,57.949,57.217,59.532,57.287,57.039,57.911
140,57.192,58.899,58.142,56.412,57.384,57.231,58.629,56.517,58.362,58.896
150,56.363,57.242,57.072,57.206,57.727,176.657,56.019,55.946,55.541,55.901
160,55.505,56.393,55.658,55.706,55.984,56.117,55.351,55.718,56.001,56.578
170,55.393,57.142,56.145,56.116,55.521,56.537,56.24,56.072,55.922,56.036
180,55.865,55.756,58.909,56.585,55.744,55.734,55.656,55.302,55.282,55.255
190,55.979,176.154,56.927,56.455,57.489,56.419,56.967,56.812,56.68,56.784
200,59.542,56.721,56.809,59.618,58.711,56.249,56.592,57.212,56.764,56.8
210,56.448,56.16,56.241,57.005,56.875,175.366,57.633,56.113,56.346,56.296
220,56.464,55.439,56.28,56.744,56.773,56.798,56.508,56.22,56.062,56.586
,,,,,,,,,,
12 - DSG RACING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.212,58.099,59.205,57.711,58.437,57.588,56.582,56.81,56.914
10,56.505,57.404,57.004,56.842,176.007,56.906,56.409,56.21,57.178,56.358
20,56.943,57.821,56.528,56.714,56.245,56.135,56.724,56.26,57.232,57.809
30,59.941,57.502,56.267,177.021,56.879,56.327,55.818,56.535,56.04,56.826
40,56.196,55.777,55.552,55.725,57.228,55.834,56.562,56.706,57.233,57.038
50,58.975,58.009,56.527,56.486,56.855,55.798,56.026,56.475,56.362,56.697
60,56.266,57.15,55.948,55.612,55.537,55.832,57.119,55.905,56.895,56.205
70,177.594,55.982,55.94,55.002,55.992,56.237,55.59,55.455,56.249,55.963
80,56.196,55.183,55.605,55.631,55.069,55.654,55.973,55.426,56.128,55.202
90,55.259,55.764,55.369,55.54,55.1,55.136,55.819,55.151,55.895,55.282
100,55.099,55.878,55.303,55.295,55.893,55.324,55.539,58.245,55.808,177.53
110,56.911,56.472,56.346,56.844,55.564,55.798,56.095,55.941,56.276,55.717
120,55.541,87.15,100.335,90.874,72.862,88.637,57.861,57.228,58.68,58.168
130,58.688,58.563,55.942,56.057,57.056,55.884,56.602,56.104,55.999,56.271
140,55.829,55.938,56.023,55.969,177.765,55.851,55.496,56.44,55.807,56.627
150,56.046,56.976,57.681,56.463,56.738,56.416,55.979,55.777,55.778,56.696
160,57.098,55.566,55.663,56.896,56.506,56.429,55.8,178.644,59.27,56.431
170,56.542,56.555,57.099,56.227,56.45,56.055,57.587,57.566,59.491,56.037
180,57.089,174.874,55.515,56.281,55.941,56.535,55.433,55.618,55.433,55.308
190,56.332,55.238,55.468,176.244,56.05,57.3,56.314,56.44,176.737,56.584
200,56.74,55.563,55.982,56.701,56.805,56.03,56.384,56.243,55.926,55.737
210,55.823,59.707,176.248,57.383,57.28,56.183,55.927,56.048,55.527,55.992
220,55.838,55.696,55.407,55.89,56.411,56.237,56.871,56.513,56.601,56.182
230,58.739,55.85,,,,,,,,
,,,,,,,,,,
25 - SECOND TIME RACING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.839,58.468,57.783,57.988,57.105,57.18,57.622,56.318,57.553
10,56.574,56.436,56.24,56.801,56.614,56.218,58.437,56.91,56.617,55.999
20,56.829,178.484,57.095,58.159,57.044,56.79,56.112,56.782,57.276,58.223
30,56.586,56.54,56.192,56.373,55.87,56.212,57.222,57.616,56.644,57.421
40,55.728,56.677,56.722,177.627,57.452,55.529,55.729,57.789,55.716,56.981
50,55.705,57.167,57.419,57.942,57.706,55.924,57.213,57.311,57.537,56.622
60,57.298,56.83,180.175,56.9,57.555,56.217,55.99,56.009,56.401,56.578
70,57.372,57.353,56.625,56.705,55.703,57.1,180.018,61.197,57.564,56.871
80,56.136,57.921,57.339,56.003,55.997,55.936,56.313,56.632,56.438,177.581
90,56.975,55.765,56.36,57.1,58.675,56.36,58.215,56.823,55.878,56.099
100,56.006,57.623,55.912,55.916,57.509,55.933,55.557,55.673,56.186,57.555
110,63.526,55.712,55.688,55.456,55.936,56.24,55.958,107.441,95.523,89.073
120,78.721,98.659,58.905,58.417,60.367,57.488,58.064,57.514,58.522,179.852
130,56.144,55.82,56.189,56.563,56.485,56.252,55.942,55.858,55.959,55.89
140,56.958,56.007,56.603,57.284,55.565,57.433,57.195,55.852,56.417,56.128
150,57.328,57.081,55.676,55.922,55.962,57.123,57.456,55.975,55.584,56.06
160,200.229,58.196,56.799,57.184,56.337,57.379,57.537,56.803,56.021,57.27
170,55.887,56.266,56.568,56.608,55.641,56.327,56.327,56.49,58.54,56.366
180,55.787,56.676,55.925,179.935,57.034,55.987,56.847,56.429,56.133,56.642
190,57.339,56.802,58.486,56.413,58.187,56.516,56.415,177.77,55.895,55.924
200,56.431,56.174,55.718,55.326,55.273,55.756,55.461,55.403,55.337,55.536
210,56.272,57.126,55.838,55.621,55.666,55.755,179.113,56.545,58.554,56.7
220,56.858,58.368,56.511,56.557,56.538,56.38,56.247,57.12,55.915,56.419
,,,,,,,,,,
11 - SKR JUNIOR 1,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.03,57.633,58.023,57.325,57.989,56.101,55.932,55.812,55.56
10,55.735,56.086,55.808,56.169,55.899,56.193,56.211,55.908,56.123,56.178
20,56.029,177.511,56.513,56.48,56.295,57.073,56.326,57.413,56.841,56.49
30,57.371,56.447,175.728,56.63,55.673,55.873,55.934,56.381,56.377,57.017
40,56.54,57.276,57.682,55.917,60.258,56.389,56.254,56.188,56.058,57.466
50,57.647,56.205,56.468,56.315,56.297,56.727,56.28,56.885,55.947,56.401
60,56.356,56.415,57.115,56.807,56.25,56.302,56.369,57.231,57.711,56.846
70,56.545,56.287,175.57,56.801,56.341,56.354,56.945,56.901,56.355,56.372
80,56.974,56.79,57.196,56.643,55.94,56.34,56.854,57.508,56.29,56.365
90,56.42,56.738,56.117,56.496,56.945,57.059,57.064,56.962,55.926,56.67
100,56.514,56.382,55.945,57.593,57.327,56.351,57.087,56.243,174.944,55.422
110,56.793,56.056,56.206,57.351,56.92,55.855,56.111,56.539,56.23,56.583
120,99.712,93.996,89.485,77.856,100.817,59.877,59.947,58.318,55.992,56.186
130,56.13,178.366,56.824,56.501,56.989,56.305,56.71,56.278,56.793,57.211
140,56.059,56.658,56.736,56.348,56.44,56.051,56.341,56.154,56.149,56.726
150,55.713,56.979,56.5,56.39,56.203,56.346,56.298,57.729,56.437,56.318
160,56.289,56.472,56.951,55.945,55.671,56.11,56.201,56.996,55.917,56.422
170,56.137,56.347,187.968,56.513,56.566,57.955,56.469,56.843,56.772,56.164
180,56.671,56.3,57.745,56.504,57.97,55.973,56.065,56.538,56.499,56.692
190,57.235,57.212,175.594,176.291,175.285,175.677,175.112,55.884,56.02,56.095
200,57.035,56.791,56.459,56.909,56.668,56.378,57.809,56.679,57.542,57.281
210,56.14,56.514,56.489,57.561,56.925,56.407,56.157,57.539,56.472,57.756
220,56.692,57.252,56.844,56.792,56.732,56.485,56.849,57.513,56.34,
,,,,,,,,,,
6 - G FORCE,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,59.192,57.838,57.642,58.8,58.578,57.932,58.576,57.403,56.301
10,57.645,56.955,56.947,57.461,58.23,57.9,59.186,56.172,57.685,57.92
20,56.167,56.521,56.148,56.891,56.488,56.424,55.861,56.145,56.879,55.93
30,55.824,56.202,59.138,179.816,56.687,57.226,55.468,55.804,55.436,55.872
40,55.428,56.127,55.537,56.979,56.073,55.472,55.516,56.005,56.952,57.802
50,56.928,55.202,55.858,57.241,55.788,55.801,55.404,55.534,55.064,55.378
60,55.44,55.411,55.2,55.695,56.21,56.201,55.662,55.5,56.054,55.771
70,55.78,177.557,57.127,56.99,57.299,56.564,56.233,57.019,56.816,56.128
80,56.358,56.273,56.302,56.575,57.154,56.8,56.131,56.933,55.892,55.899
90,55.707,56.348,57.348,56.792,56.03,56.872,56.668,56.615,56.141,56.39
100,56.672,56.609,55.686,56.352,56.849,56.333,178.015,57.528,55.963,56.243
110,55.563,55.652,55.633,56.839,55.581,56.48,55.616,55.459,55.972,56.226
120,56.022,56.58,103.566,95.248,89.807,78.54,101.391,58.267,56.952,56.245
130,56.241,56,57.665,56.914,56.792,56.305,56.267,56.703,60.401,179.181
140,58.86,57.13,57.262,56.97,56.639,56.588,58.942,57.559,56.834,56.587
150,60.87,56.715,57.278,57.195,56.545,56.503,57.203,56.143,56.2,56.966
160,56.206,57.272,57.1,56.789,56.345,56.428,56.846,57.578,57.288,56.969
170,57.604,57.32,178.47,179.343,176.699,176.37,181.227,176.708,56.122,57.05
180,57.506,56.701,56.354,56.204,56.54,57.421,56.481,55.567,56.013,176.607
190,56.304,56.438,55.772,56.263,56.634,56.717,58.033,57.558,56.957,59.311
200,58.291,55.954,56.463,59.949,56.062,60.064,57.889,56.042,56.209,55.774
210,55.559,55.423,56.161,55.142,55.609,55.2,55.416,58.258,56.35,55.763
220,56.309,56.014,55.693,56.788,55.782,56.712,55.479,55.132,55.729,
,,,,,,,,,,
8 - HOBBY-KART MONTANA,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,60.151,57.7,57.71,58.167,57.461,56.348,56.782,56.56,56.516
10,56.402,56.927,56.391,57.57,57.09,57.287,57.385,56.462,56.816,180.175
20,56.489,56.46,55.739,56.161,56.064,56.145,56.404,56.986,55.981,57.377
30,55.872,56.168,56.473,56.548,56.072,56.217,56.19,56.976,56.054,55.863
40,179.831,57.194,55.744,55.29,55.813,55.616,55.407,56.476,56.619,55.578
50,55.444,55.814,55.643,55.324,56.354,55.622,55.84,55.739,56.21,56.322
60,55.693,55.837,55.387,55.423,55.992,180.421,58.272,56.617,57.25,56.362
70,56.679,56.21,57.428,56.556,56.688,56.578,56.47,56.53,56.338,56.717
80,56.588,57.142,58.956,56.858,56.675,56.446,178.917,56.999,55.297,56.086
90,56.417,55.449,55.79,55.524,55.631,55.378,180.959,56.609,55.4,55.863
100,55.797,56.627,55.213,55.572,55.548,55.432,55.389,55.33,55.828,179.536
110,58.029,56.687,56.281,56.315,58.073,56.131,98.064,98.777,87.7,77.253
120,93.055,58.999,58.001,58.462,58.722,56.998,57.175,56.565,57.137,56.645
130,57.264,57.48,57.086,56.889,57.53,56.826,57.498,179.738,56.716,55.915
140,56.03,55.86,56.411,56.082,57.165,56.691,56.166,56.384,55.801,57.156
150,57.254,57.804,56.602,56.171,56.425,55.826,55.802,55.973,55.955,55.892
160,56.629,56.439,55.992,55.854,56.314,55.869,55.962,55.684,55.758,56.344
170,55.543,55.595,55.282,55.54,55.877,55.705,55.496,55.98,55.925,56.671
180,56.36,55.694,55.814,55.778,56.658,183.249,56.362,55.736,55.65,55.637
190,55.92,55.765,55.424,55.249,56.759,58.047,55.768,55.405,55.751,56.656
200,56.266,55.439,56.566,56.297,178.645,178.721,180.542,57.093,57.714,57.132
210,58.98,57.765,56.924,57.354,57.483,56.698,56.193,57.152,57.267,56.481
220,58.332,57.219,57.676,57.697,57.158,57.051,57.739,58.684,57.172,
,,,,,,,,,,
40 - BOSCH ECS RACING TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.712,57.714,59.175,56.589,58.758,55.848,57.446,56.37,56.353
10,56.535,57.986,56.332,56.986,56.38,55.428,56.047,56.141,55.83,55.999
20,56.196,56.446,55.864,56.32,55.893,55.808,56.889,56.452,56.25,55.398
30,56.407,55.917,55.619,55.84,55.519,58.575,55.696,55.306,56.448,177.641
40,59.004,57.862,56.803,58.238,59.158,58.071,58.357,56.613,56.393,56.345
50,60.848,57.714,57.729,56.576,57.373,57.142,57.5,57.502,57.519,57.423
60,58.112,57.236,57.987,178.114,56.036,57.095,56.255,55.914,56.332,56.415
70,56.118,56.457,57.879,57.298,55.695,56.764,57.253,57.414,56.225,55.62
80,56.421,56.386,55.964,58.197,56.913,56.643,55.624,55.901,55.997,55.781
90,56.481,55.989,56.063,55.843,56.35,56,56.372,56.529,56.361,56.769
100,55.995,55.934,57.175,56.106,57.516,181.387,55.842,56.372,55.811,55.609
110,55.796,55.252,56.003,56.118,55.311,55.064,55.377,55.207,55.702,55.039
120,56.401,56.52,98.565,95.09,90.419,79.21,96.87,61.808,58.256,57.427
130,57.695,56.808,57.175,55.802,56.484,57.225,57.069,55.894,55.872,56.176
140,56.043,56.159,198.672,58.406,58.365,58.068,59.179,58.025,58.185,58.572
150,60.315,59.124,58.13,58.848,58.312,58.229,58.615,58.109,59.613,59.835
160,59.443,58.42,158.708,180.396,177.194,57.149,57.238,176.24,175.808,55.546
170,55.672,55.849,56.859,55.741,55.46,55.936,56.197,56.519,56.979,56.573
180,56.51,55.747,55.766,56.667,56.102,56.369,176.383,56.304,55.715,55.849
190,55.741,56.785,55.515,56.006,55.241,55.408,55.199,54.918,55.505,55.343
200,56.291,57.205,55.167,55.503,55.42,55.051,55.154,55.781,55.229,55.176
210,55.063,55.209,55.344,55.608,175.769,55.383,55.408,56.075,54.937,55.079
220,55.373,55.637,55.286,54.931,56.339,55.58,55.772,55.384,55.664,
,,,,,,,,,,
33 - GDK  RACE  TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,59.809,58.992,57.386,57.567,57.912,57.47,58.597,56.62,57.018
10,57.094,57.549,56.966,57.413,58.233,58.439,179.007,56.697,55.677,55.469
20,56.373,56.861,56.74,55.872,56.506,56.269,55.531,55.899,56.007,55.948
30,56.597,56.452,56.198,56.19,56.124,56.414,55.848,55.733,55.704,55.885
40,55.917,55.983,55.909,56.129,177.681,56.681,56.589,57.629,58.413,57.565
50,58.277,59.159,57.259,57.616,56.747,56.851,57.928,57.289,58.165,57.087
60,57.327,56.933,58.59,56.828,57.156,57.956,56.93,57.682,179.797,57.225
70,57.152,57.833,56.425,56.804,57.021,57.236,57.438,57.877,56.288,56.6
80,56.745,56.757,56.646,57.083,56.362,56.347,56.367,56.963,56.502,57.6
90,56.913,56.912,57.231,56.149,57.667,57.057,175.799,56.703,56.71,56.126
100,55.58,56.308,56.354,71.599,56.453,56.185,56.105,55.812,55.519,56.145
110,56.357,55.621,56.178,56.372,55.682,55.711,55.923,55.967,56.161,106.222
120,94.071,88.946,78.419,100.708,60.278,57.731,56.306,56.295,59.112,56.553
130,56.431,55.762,56.826,56.436,177.727,56.344,56.1,56.353,56.414,56.313
140,56.568,56.605,56.581,56.397,57.079,58.444,57.171,180.004,57.524,57.285
150,58.354,57.133,57.385,60.539,57.298,57.336,57.452,58.136,176.632,56.961
160,56.136,56.28,56.395,56.695,56.5,56.655,56.248,56.339,56.828,176.843
170,56.318,56.059,55.947,57.129,56.18,56.439,56.293,178.328,56.631,57.06
180,56.842,56.599,57.292,57.098,56.859,57.095,56.467,57.429,57.581,57.407
190,57.057,175.956,55.857,55.236,55.881,55.429,55.53,55.698,55.864,55.844
200,55.171,55.705,55.683,55.429,55.514,55.591,55.795,181.703,55.818,55.982
210,57.659,55.963,55.972,55.982,56.833,56.187,56.342,56.437,56.545,57.165
220,56.654,56.3,56.348,57.44,56.479,56.198,56.144,56.825,,
,,,,,,,,,,
22 - REVANE,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,61.549,58.22,57.141,57.5,58.369,58.733,56.764,57.434,56.706
10,56.692,56.629,57.619,57.406,57.534,57.617,58.465,179.952,58.01,56.668
20,57.466,56.726,56.945,57.033,56.484,57.64,57.453,179.398,57.865,56.46
30,56.18,56.286,57.78,55.985,56.819,56.023,56.019,56.15,56.968,56.304
40,179.508,56.206,57.367,55.838,56.548,56.065,56.3,56.522,56.205,56.13
50,56.254,55.897,56.436,56.285,55.94,179.356,57.201,56.61,57.557,57.449
60,57.753,57.478,57.603,56.79,57.708,58.375,56.449,57.996,58.057,57.275
