EKO 4h of Bulgaria – Final,,,,,,,,,,
,,,,,,,,,,
22/10/2022 - 14:55,,,,,,,,,,
,,,,,,,,,,
17 - SÉLESTAT KART INDOOR,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.559,55.376,55.578,55.073,54.779,54.93,55.057,55.368,55.018
10,54.964,55.609,55.553,54.952,55.168,55.707,55.235,55.444,57.336,55.087
20,55.809,55.482,55.723,55.09,55.35,55.073,54.852,55.061,54.911,54.802
30,55.237,55.038,55.241,54.999,55.693,55.02,54.744,55.798,55.189,55.059
40,175.812,55.456,55.685,55.295,55.154,56.121,55.217,55.662,55.59,55.416
50,55.217,175.777,56.076,55.56,55.696,55.88,55.488,55.602,56.077,175.196
60,56.409,54.957,55.685,55.445,55.277,55.439,55.578,56.044,55.249,55.513
70,55.223,55.014,55.768,55.638,55.117,55.032,54.777,55.285,55.062,55.024
80,55.829,55.327,55.031,55.069,55.025,55.062,54.929,55.027,54.869,55.007
90,54.932,55.259,55.135,55.234,55.33,55.739,55.169,55.027,55.105,56.132
100,54.933,174.995,56.147,55.118,55.182,54.977,55.465,55.243,55.192,55.594
110,55.129,55.056,55.192,55.303,55.302,54.945,55.159,55.248,55.383,55.616
120,55.576,55.134,55.073,96.51,95.49,90.393,79.261,95.219,57.646,57.291
130,56.701,56.082,56.121,55.436,55.887,55.431,55.651,56.176,55.338,55.315
140,174.52,55.63,55.09,55.378,55.751,55.628,55.791,55.69,55.727,55.454
150,56.455,55.446,55.749,55.998,55.398,55.272,55.213,55.32,55.445,55.195
160,55.959,55.321,55.375,55.459,55.298,55.111,54.916,55.125,55.61,55.771
170,55.449,54.94,55.152,55.239,55.539,55.554,55.269,55.192,55.407,55.098
180,55.046,55.305,174.758,55.08,54.911,54.887,55.286,54.7,54.471,54.797
190,55.44,54.721,55.354,55.594,55.781,54.798,55.106,54.892,54.931,55.108
200,55.249,55.502,54.874,55.25,55.174,55.118,55.043,54.772,54.847,54.725
210,55.097,55.096,56.055,55.582,55.254,55.465,55.643,54.771,54.93,54.739
